gameid,qtr,min,sec,off,def,down,togo,ydline,description,offscore,defscore,season,,,
20120909_ATL@KC,4,0,21,KC,ATL,2,7,12,PASS,17,40,2012,,,
20120909_ATL@KC,4,14,21,ATL,KC,3,5,12,PASS,34,17,2012,,,
20120909_ATL@KC,4,0,16,KC,ATL,3,7,12,PASS,17,40,2012,,,
20120909_ATL@KC,4,14,16,ATL,KC,4,5,12,FIELD GOAL,34,17,2012,,,
20120909_ATL@KC,2,37,55,ATL,KC,1,10,14,PASS,10,10,2012,,,
20120909_ATL@KC,1,54,44,ATL,KC,2,8,14,PASS,0,0,2012,,,
20120909_ATL@KC,4,0,46,KC,ATL,1,10,15,PASS,17,40,2012,,,
20120909_ATL@KC,1,55,19,ATL,KC,1,10,16,RUN,0,0,2012,,,
20120909_ATL@KC,1,46,57,ATL,KC,4,2,16,FIELD GOAL,7,3,2012,,,
20120909_ATL@KC,3,15,42,ATL,KC,1,10,17,RUN,34,17,2012,,,
20120909_ATL@KC,4,15,0,ATL,KC,2,11,18,PASS,34,17,2012,,,
20120909_ATL@KC,1,48,15,ATL,KC,3,4,18,PENALTY,7,3,2012,,,
20120909_ATL@KC,2,35,24,KC,ATL,1,10,19,RUN,10,17,2012,,,
20120909_ATL@KC,3,21,21,ATL,KC,1,10,19,RUN, A.Studebaker).,20,17,2012,,
20120909_ATL@KC,1,48,15,ATL,KC,2,6,20,RUN,7,3,2012,,,
20120909_ATL@KC,1,49,6,KC,ATL,4,7,21,FIELD GOAL,0,7,2012,,,
20120909_ATL@KC,2,41,45,KC,ATL,2,6,22,PASS,3,10,2012,,,
20120909_ATL@KC,2,38,30,ATL,KC,2,5,22,PASS,10,10,2012,,,
20120909_ATL@KC,1,49,24,KC,ATL,3,8,22,PASS,0,7,2012,,,
20120909_ATL@KC,3,24,14,KC,ATL,3,4,22,PASS,17,20,2012,,,
20120909_ATL@KC,4,11,24,ATL,KC,3,1,22,RUN,37,17,2012,,,
20120909_ATL@KC,3,24,9,KC,ATL,4,4,22,FIELD GOAL,17,20,2012,,,
20120909_ATL@KC,1,47,7,ATL,KC,3,9,23,PASS,7,3,2012,,,
20120909_ATL@KC,4,10,44,ATL,KC,4,2,23,FIELD GOAL,37,17,2012,,,
20120909_ATL@KC,1,50,12,KC,ATL,1,10,24,PASS,0,7,2012,,,
20120909_ATL@KC,1,48,51,ATL,KC,1,10,24,RUN,7,3,2012,,,
20120909_ATL@KC,1,50,6,KC,ATL,2,10,24,RUN,0,7,2012,,,
20120909_ATL@KC,2,42,29,KC,ATL,1,10,26,RUN, S.Nicholas).,3,10,2012,,
20120909_ATL@KC,3,25,3,KC,ATL,2,8,26,PASS,17,20,2012,,,
20120909_ATL@KC,2,39,5,ATL,KC,1,10,27,PASS,10,10,2012,,,
20120909_ATL@KC,3,25,40,KC,ATL,1,10,28,RUN,17,20,2012,,,
20120909_ATL@KC,2,31,48,ATL,KC,2,1,28,PASS,17,17,2012,,,
20120909_ATL@KC,2,35,53,KC,ATL,3,4,28,PASS,10,17,2012,,,
20120909_ATL@KC,4,1,15,KC,ATL,1,10,29,PASS,17,40,2012,,,
20120909_ATL@KC,4,12,7,ATL,KC,2,8,29,PASS, D.Johnson).,37,17,2012,,
20120909_ATL@KC,1,55,58,ATL,KC,1,10,31,PASS,0,0,2012,,,
20120909_ATL@KC,4,12,44,ATL,KC,1,10,31,RUN,37,17,2012,,,
20120909_ATL@KC,1,55,53,ATL,KC,2,10,31,PASS,0,0,2012,,,
20120909_ATL@KC,2,36,44,KC,ATL,2,7,31,PASS,10,17,2012,,,
20120909_ATL@KC,4,1,47,KC,ATL,3,1,32,RUN,17,40,2012,,,
20120909_ATL@KC,2,39,32,ATL,KC,2,4,33,PASS,10,10,2012,,,
20120909_ATL@KC,2,37,21,KC,ATL,1,10,34,RUN,10,17,2012,,,
20120909_ATL@KC,2,31,55,ATL,KC,1,10,37,RUN,17,17,2012,,,
20120909_ATL@KC,3,21,59,ATL,KC,2,8,38,PASS,20,17,2012,,,
20120909_ATL@KC,2,40,2,ATL,KC,1,10,39,RUN,10,10,2012,,,
20120909_ATL@KC,3,22,41,ATL,KC,1,10,40,RUN,20,17,2012,,,
20120909_ATL@KC,4,2,0,KC,ATL,1,10,41,PASS,17,40,2012,,,
20120909_ATL@KC,4,1,55,KC,ATL,2,10,41,PASS,17,40,2012,,,
20120909_ATL@KC,1,56,38,ATL,KC,3,8,42,PASS,0,0,2012,,,
20120909_ATL@KC,3,16,20,ATL,KC,1,10,43,PASS,34,17,2012,,,
20120909_ATL@KC,3,26,15,KC,ATL,2,7,43,PASS,17,20,2012,,,
20120909_ATL@KC,1,57,26,ATL,KC,1,10,44,PASS,0,0,2012,,,
20120909_ATL@KC,1,57,21,ATL,KC,2,10,44,RUN,0,0,2012,,,
20120909_ATL@KC,3,26,55,KC,ATL,1,10,46,RUN,17,20,2012,,,
20120909_ATL@KC,1,50,55,KC,ATL,3,9,47,PASS,0,7,2012,,,
20120909_ATL@KC,2,43,8,KC,ATL,3,9,47,PASS,3,10,2012,,,
20120909_ATL@KC,1,51,41,KC,ATL,1,10,48,PASS,0,7,2012,,,
20120909_ATL@KC,2,44,21,KC,ATL,1,10,48,PASS,3,10,2012,,,
20120909_ATL@KC,2,32,5,ATL,KC,1,10,48,RUN,17,17,2012,,,
20120909_ATL@KC,1,51,36,KC,ATL,2,10,48,RUN,0,7,2012,,,
20120909_ATL@KC,2,40,26,ATL,KC,1,10,54,PASS,10,10,2012,,,
20120909_ATL@KC,2,43,40,KC,ATL,2,18,56,PASS,3,10,2012,,,
20120909_ATL@KC,2,45,0,KC,ATL,1,10,59,RUN,3,10,2012,,,
20120909_ATL@KC,2,32,33,ATL,KC,1,10,61,PASS,17,17,2012,,,
20120909_ATL@KC,2,32,27,ATL,KC,2,10,61,PASS,17,17,2012,,,
20120909_ATL@KC,4,7,5,KC,ATL,4,9,62,PUNT,17,40,2012,,,
20120909_ATL@KC,4,8,9,KC,ATL,1,10,63,PASS,17,40,2012,,,
20120909_ATL@KC,4,7,59,KC,ATL,2,10,63,PENALTY,17,40,2012,,,
20120909_ATL@KC,4,2,35,KC,ATL,2,2,65,PASS,17,40,2012,,,
20120909_ATL@KC,4,2,31,KC,ATL,3,2,65,PASS,17,40,2012,,,
20120909_ATL@KC,1,51,48,KC,ATL,1,10,66,PASS,0,7,2012,,,
20120909_ATL@KC,3,27,35,KC,ATL,2,9,67,PASS, S.Nicholas).,17,20,2012,,
20120909_ATL@KC,3,28,15,KC,ATL,1,10,68,RUN,17,20,2012,,,
20120909_ATL@KC,3,16,29,KC,ATL,2,9,68,PASS,17,34,2012,,,
20120909_ATL@KC,1,52,26,KC,ATL,3,1,68,RUN,0,7,2012,,,
20120909_ATL@KC,1,58,1,ATL,KC,1,10,69,PASS,0,0,2012,,,
20120909_ATL@KC,3,17,1,KC,ATL,1,10,69,RUN,17,34,2012,,,
20120909_ATL@KC,3,24,7,ATL,KC,1,10,70,PASS,20,17,2012,,,
20120909_ATL@KC,2,40,56,ATL,KC,2,7,70,PASS,10,10,2012,,,
